Index,Unnamed: 0,At,At.1
0,,31 December,31 December
1,Presented in EUR (000),2021,2020
2,Advances and prepaid expenses,"3,508","4,068"
3,Accrued interest on derivatives,"7,259",-
4,Other prepayments,187,187
5,Other financial assets,"4,930","5,160"
6,Guarantee deposits and non-current,70,75
7,Other assets,"15,954","9,490"
