Index,comprehensive income,"5,16","24,986","25,519"
0,Equity investments at fair value,,"25,777","26,310"
1,,,,
2,Accrued interest receivable,15.0,"27,181","23,512"
3,Other assets,17.0,"15,954","9,490"
