Index,Unnamed: 0,At,At.1
0,,31 December,31 December
1,Presented in EUR (000),2021,2020
2,Cash on hand,1,2
3,Due from banks,"170,174","34,326"
4,Investments maturing up to 1 month:,,
5,At fair value through other comprehensive income portfolio,"165,049","86,782"
6,Investment maturing from 1 month to 3 months:,,
7,At fair value through other comprehensive income portfolio,"236,268","151,556"
8,Cash and cash equivalents,"571,492","272,666"
